Row ID,Order ID,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Order_Year,Order_Month,Order_Day,Ship_Year,Ship_Month,Ship_Day
17,CA-2025-202530,Standard Class,HW-14935,Helen Wasserman,Corporate,United States,Tulsa,Oklahoma,74133,Central,OFF-AR-10004269,Office Supplies,Art,Newell 31,1.4553,3,0.0,-3.3152,2025,10,31,2025,11,5
18,CA-2025-202531,Standard Class,HR-14830,Harold Ryan,Corporate,United States,Seattle,Washington,98103,West,OFF-BI-10004656,Office Supplies,Binders,Peel & Stick Add-On Corner Pockets,21.3833,7,0.2,0.506,2025,11,24,2025,11,30
19,CA-2025-202518,First Class,SG-20470,Sheri Gordon,Consumer,United States,Florence,South Carolina,29501,South,OFF-FA-10003112,Office Supplies,Fasteners,Staples,20.687,4,0.0,13.8057,2025,3,23,2025,3,26
20,CA-2025-202504,Standard Class,Dp-13240,Dean percer,Home Office,United States,Charlotte,North Carolina,28205,South,OFF-ST-10003208,Office Supplies,Storage,Adjustable Depth Letter/Legal Cart,578.1643,4,0.2,67.1896,2025,10,7,2025,10,11
21,CA-2025-202526,Standard Class,PK-19075,Pete Kriz,Consumer,United States,New York City,New York,10011,East,OFF-BI-10000279,Office Supplies,Binders,"Acco Recycled 2"" Capacity Laser Printer Hanging Data Binders",12.411,2,0.2,7.9273,2025,12,14,2025,12,19
22,CA-2025-202551,First Class,CJ-11875,Carl Jackson,Corporate,United States,Philadelphia,Pennsylvania,19140,East,OFF-AR-10004269,Office Supplies,Art,Newell 31,16.6229,5,0.2,0.9064,2025,12,30,2025,1,2
23,US-2025-202554,Same Day,FC-14335,Fred Chung,Corporate,United States,Albuquerque,New Mexico,87105,West,OFF-AR-10000937,Office Supplies,Art,"Dixon Ticonderoga Core-Lock Colored Pencils, 48-Color Set",261.344,7,0.0,117.6105,2025,10,10,2025,10,10
24,CA-2025-202588,Standard Class,TM-21010,Tamara Manning,Consumer,United States,Orem,Utah,84057,West,FUR-BO-10004357,Furniture,Bookcases,O'Sullivan Living Dimensions 3-Shelf Bookcases,1404.8906,7,0.0,141.4505,2025,5,31,2025,6,4
25,CA-2025-202511,Standard Class,AS-10090,Adam Shillingsburg,Consumer,United States,Irving,Texas,75061,Central,OFF-ST-10002957,Office Supplies,Storage,Sterilite Show Offs Storage Containers,-3.8265,3,0.2,-4.5484,2025,5,2,2025,5,6
26,CA-2025-202535,Standard Class,MC-17590,Matt Collister,Corporate,United States,Perth Amboy,New Jersey,8861,East,OFF-PA-10004071,Office Supplies,Paper,"Eaton Premium Continuous-Feed Paper, 25% Cotton, Letter Size, White, 1000 Shts/Box",43.0704,1,0.0,25.2037,2025,7,17,2025,7,21
27,US-2025-202549,Standard Class,AP-10720,Anne Pryor,Home Office,United States,Frisco,Texas,75034,Central,TEC-AC-10004127,Technology,Accessories,SanDisk Cruzer 8 GB USB Flash Drive,20.0179,4,0.2,3.8539,2025,11,22,2025,11,26
28,CA-2025-202500,Second Class,MJ-17740,Max Jones,Consumer,United States,San Diego,California,92037,West,OFF-AP-10001242,Office Supplies,Appliances,APC 7 Outlet Network SurgeArrest Surge Protector,237.869,3,0.0,71.7801,2025,6,24,2025,6,26
29,CA-2025-202581,First Class,MP-17470,Mark Packer,Home Office,United States,New York City,New York,10035,East,FUR-BO-10002613,Furniture,Bookcases,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",889.247,4,0.2,118.5965,2025,10,12,2025,10,14
30,CA-2025-202570,Second Class,JE-15715,Joe Elijah,Consumer,United States,Las Cruces,New Mexico,88001,West,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper,62.4637,4,0.0,24.4938,2025,2,21,2025,2,23
31,CA-2025-202561,Standard Class,PA-19060,Pete Armstrong,Home Office,United States,Eau Claire,Wisconsin,54703,Central,OFF-BI-10000666,Office Supplies,Binders,Surelock Post Binders,87.0173,3,0.0,50.2556,2025,5,17,2025,5,21
32,CA-2025-202530,Standard Class,SV-20785,Stewart Visinsky,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-PA-10002230,Office Supplies,Paper,Xerox 1897,13.3375,2,0.2,4.3936,2025,5,3,2025,5,7
33,CA-2025-202575,Second Class,RA-19945,Ryan Akin,Consumer,United States,Miami,Florida,33178,South,FUR-TA-10001857,Furniture,Tables,Balt Solid Wood Rectangular Table,175.6348,3,0.45,-113.3203,2025,8,29,2025,9,2
34,CA-2025-202518,Standard Class,GM-14500,Gene McClure,Consumer,United States,Seattle,Washington,98103,West,OFF-AR-10004441,Office Supplies,Art,BIC Brite Liner Highlighters,16.7388,3,0.0,8.9724,2025,9,15,2025,9,20
35,US-2025-202538,Standard Class,JC-16105,Julie Creighton,Corporate,United States,Los Angeles,California,90045,West,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",277.9309,6,0.2,19.4153,2025,12,24,2025,12,29
36,CA-2025-202532,Second Class,MC-18130,Mike Caudle,Corporate,United States,Newark,Delaware,19711,East,OFF-FA-10004968,Office Supplies,Fasteners,Rubber Band Ball,33.7942,7,0.0,1.9464,2025,11,7,2025,11,10
37,CA-2025-202542,Standard Class,CC-12550,Clay Cheatham,Consumer,United States,Los Angeles,California,90008,West,OFF-PA-10004735,Office Supplies,Paper,Xerox 1905,48.4238,7,0.0,23.521,2025,12,1,2025,12,5
38,US-2025-202581,Standard Class,SP-20860,Sung Pak,Corporate,United States,Los Angeles,California,90036,West,TEC-AC-10003033,Technology,Accessories,Plantronics CS510 - Over-the-Head monaural Wireless Headset System,670.4355,2,0.0,215.5072,2025,11,24,2025,11,30
39,CA-2025-202508,Second Class,FH-14275,Frank Hawley,Corporate,United States,Los Angeles,California,90004,West,OFF-AR-10001725,Office Supplies,Art,Boston Home & Office Model 2000 Electric Pencil Sharpeners,71.4746,3,0.0,15.2108,2025,4,6,2025,4,10
40,US-2025-202583,Standard Class,GR-14560,Georgia Rosenberg,Corporate,United States,Wilmington,Delaware,19805,East,OFF-BI-10002429,Office Supplies,Binders,"Premier Elliptical Ring Binder, Black",205.8203,7,0.0,101.1321,2025,11,19,2025,11,25
41,CA-2025-202592,First Class,BP-11095,Bart Pistole,Corporate,United States,Los Angeles,California,90008,West,OFF-LA-10001934,Office Supplies,Labels,Avery 516,12.6491,2,0.0,3.5112,2025,12,19,2025,12,21
42,US-2025-202535,Second Class,SC-20260,Scott Cohen,Corporate,United States,Corpus Christi,Texas,78415,Central,OFF-PA-10004610,Office Supplies,Paper,Xerox 1900,11.4058,2,0.2,7.049,2025,9,14,2025,9,18
43,US-2025-202535,Standard Class,JL-15835,John Lee,Consumer,United States,Columbus,Ohio,43229,East,OFF-AR-10004757,Office Supplies,Art,Crayola Colored Pencils,0.5599,5,0.2,4.7542,2025,7,14,2025,7,18
44,CA-2025-202546,Standard Class,MC-17590,Matt Collister,Corporate,United States,Arlington,Texas,76017,Central,FUR-FU-10000221,Furniture,Furnishings,"Master Caster Door Stop, Brown",9.0093,3,0.6,-5.1152,2025,11,25,2025,11,30
45,CA-2025-202543,Standard Class,AT-10735,Annie Thurman,Consumer,United States,New York City,New York,10009,East,FUR-FU-10000308,Furniture,Furnishings,Deflect-o Glass Clear Studded Chair Mats,114.1547,2,0.0,30.9356,2025,12,17,2025,12,23
46,CA-2025-202512,Standard Class,EB-14110,Eugene Barchas,Consumer,United States,Columbus,Ohio,43229,East,OFF-FA-10003021,Office Supplies,Fasteners,Staples,26.4798,2,0.2,5.2897,2025,11,28,2025,12,2
47,US-2025-202588,Same Day,JF-15415,Jennifer Ferguson,Consumer,United States,Seattle,Washington,98105,West,TEC-PH-10000127,Technology,Phones,iOttie XL Car Mount,93.583,5,0.2,-17.5693,2025,9,11,2025,9,11
48,CA-2025-202508,Standard Class,MT-18070,Michelle Tran,Home Office,United States,San Antonio,Texas,78207,Central,OFF-BI-10004140,Office Supplies,Binders,Avery Non-Stick Binders,13.5981,4,0.8,-3.9352,2025,10,24,2025,10,29
49,CA-2025-202533,Second Class,DF-13135,David Flashing,Consumer,United States,New York City,New York,10009,East,OFF-PA-10003302,Office Supplies,Paper,Xerox 1906,223.1496,6,0.0,98.8992,2025,12,26,2025,12,30
50,CA-2025-202596,First Class,GK-14620,Grace Kelly,Corporate,United States,Greensboro,North Carolina,27405,South,OFF-AR-10001446,Office Supplies,Art,Newell 309,47.1596,7,0.2,10.1438,2025,8,13,2025,8,15
51,CA-2025-202520,Standard Class,BV-11245,Benjamin Venier,Corporate,United States,Des Moines,Iowa,50315,Central,FUR-FU-10002597,Furniture,Furnishings,"C-Line Magnetic Cubicle Keepers, Clear Polypropylene",35.4771,7,0.0,16.661,2025,1,30,2025,2,5
52,CA-2025-202536,Second Class,SF-20065,Sandra Flanagan,Consumer,United States,Everett,Massachusetts,2149,East,OFF-PA-10001033,Office Supplies,Paper,Xerox 1893,34.9027,1,0.0,23.9099,2025,11,1,2025,11,4
53,CA-2025-202530,First Class,NF-18385,Natalie Fritzler,Consumer,United States,Newark,Ohio,43055,East,TEC-PH-10004908,Technology,Phones,Panasonic KX TS3282W Corded phone,105.0369,2,0.4,-16.1068,2025,12,15,2025,12,18
54,CA-2025-202538,First Class,NP-18325,Naresj Patel,Consumer,United States,New York City,New York,10024,East,TEC-PH-10000984,Technology,Phones,Panasonic KX-TG9471B,969.3478,5,0.0,277.9696,2025,8,9,2025,8,12
55,US-2025-202585,Standard Class,MG-17695,Maureen Gnade,Consumer,United States,Buffalo,New York,14215,East,OFF-SU-10000157,Office Supplies,Supplies,Compact Automatic Electric Letter Opener,822.9106,7,0.0,15.933,2025,6,23,2025,6,30
56,CA-2025-202581,Second Class,AF-10885,Art Foster,Consumer,United States,Philadelphia,Pennsylvania,19134,East,OFF-AR-10000716,Office Supplies,Art,DIXON Ticonderoga Erasable Checking Pencils,35.894,5,0.2,4.4471,2025,5,10,2025,5,14
57,CA-2025-202506,First Class,LR-16915,Lena Radford,Consumer,United States,Los Angeles,California,90045,West,OFF-ST-10003692,Office Supplies,Storage,Recycled Steel Personal File for Hanging File Folders,100.428,2,0.0,32.0767,2025,1,3,2025,1,5
58,CA-2025-202550,Standard Class,GT-14710,Greg Tran,Consumer,United States,Washington,District of Columbia,20016,East,FUR-CH-10000309,Furniture,Chairs,Global Comet Stacking Arm Chair,1262.4783,3,0.0,318.6988,2025,4,27,2025,5,3
59,CA-2025-202531,First Class,TS-21370,Todd Sumrall,Corporate,United States,Los Angeles,California,90049,West,OFF-SU-10002301,Office Supplies,Supplies,Serrated Blade or Curved Handle Hand Letter Openers,18.2508,2,0.0,3.0972,2025,10,28,2025,10,31
60,US-2025-202593,Standard Class,MA-17560,Matt Abelman,Home Office,United States,Sheboygan,Wisconsin,53081,Central,OFF-ST-10002406,Office Supplies,Storage,Pizazz Global Quick File,5.4485,1,0.0,11.219,2025,8,23,2025,8,29
61,CA-2025-202502,Standard Class,SM-20950,Suzanne McNair,Corporate,United States,Fairfield,Connecticut,6824,East,OFF-ST-10001837,Office Supplies,Storage,"SAFCO Mobile Desk Side File, Wire Frame",464.2573,11,0.0,120.8906,2025,8,28,2025,9,2
62,CA-2025-202594,Second Class,TB-21520,Tracy Blumstein,Consumer,United States,Beaumont,Texas,77705,Central,OFF-BI-10003676,Office Supplies,Binders,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",2.0354,5,0.8,-21.4313,2025,10,17,2025,10,22
63,CA-2025-202593,Standard Class,PJ-18835,Patrick Jones,Corporate,United States,Seattle,Washington,98115,West,TEC-PH-10001552,Technology,Phones,I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,62.9113,6,0.2,5.6965,2025,5,28,2025,6,2
64,CA-2025-202597,Second Class,EM-13960,Eric Murdock,Consumer,United States,Philadelphia,Pennsylvania,19134,East,TEC-AC-10003657,Technology,Accessories,Lenovo 17-Key USB Numeric Keypad,53.1045,2,0.2,-1.8376,2025,12,28,2025,12,31
65,CA-2025-202521,Second Class,PO-18850,Patrick O'Brill,Consumer,United States,Tallahassee,Florida,32303,South,TEC-PH-10001459,Technology,Phones,Samsung Galaxy Mega 6.3,4355.8235,13,0.2,323.9611,2025,8,23,2025,8,26
66,CA-2025-202539,Standard Class,MW-18235,Mitch Willingham,Corporate,United States,Virginia Beach,Virginia,23464,South,TEC-PH-10001530,Technology,Phones,Plantronics Voyager Pro Legend,621.2468,3,0.0,177.8471,2025,5,21,2025,5,25
67,CA-2025-202589,First Class,MP-17470,Mark Packer,Home Office,United States,Brownsville,Texas,78521,Central,OFF-EN-10002230,Office Supplies,Envelopes,Airmail Envelopes,346.9937,5,0.2,105.5939,2025,3,30,2025,4,1
68,CA-2025-202525,Second Class,CD-12280,Christina DeMoss,Consumer,United States,New York City,New York,10024,East,FUR-TA-10003469,Furniture,Tables,Balt Split Level Computer Training Table,182.2577,2,0.4,-65.3614,2025,11,5,2025,11,10
69,CA-2025-202565,Standard Class,KM-16225,Kalyca Meade,Corporate,United States,New York City,New York,10011,East,FUR-FU-10002191,Furniture,Furnishings,G.E. Halogen Desk Lamp Bulbs,0.8401,2,0.0,9.2353,2025,7,6,2025,7,10
70,US-2025-202533,Standard Class,MO-17950,Michael Oakman,Consumer,United States,Jacksonville,North Carolina,28540,South,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,17.1532,2,0.2,-1.7647,2025,7,3,2025,7,9
71,CA-2025-202591,First Class,CC-12220,Chris Cortes,Consumer,United States,New York City,New York,10024,East,FUR-CH-10003298,Furniture,Chairs,"Office Star - Contemporary Task Swivel chair with Loop Arms, Charcoal",583.5343,5,0.1,-9.2138,2025,10,4,2025,10,6
72,CA-2025-202584,Standard Class,TS-21655,Trudy Schmidt,Consumer,United States,Fayetteville,Arkansas,72701,South,OFF-PA-10003302,Office Supplies,Paper,Xerox 1906,104.4366,3,0.0,51.563,2025,12,25,2025,12,29
73,CA-2025-202518,Standard Class,MY-17380,Maribeth Yedwab,Corporate,United States,San Antonio,Texas,78207,Central,OFF-PA-10000520,Office Supplies,Paper,Xerox 201,9.1758,2,0.2,7.0683,2025,12,1,2025,12,8
74,CA-2025-202591,Standard Class,PO-19195,Phillina Ober,Home Office,United States,Philadelphia,Pennsylvania,19140,East,FUR-CH-10002880,Furniture,Chairs,"Global High-Back Leather Tilter, Burgundy",354.4258,4,0.3,-89.3371,2025,11,20,2025,11,24
75,CA-2025-202524,Standard Class,ME-17320,Maria Etezadi,Home Office,United States,Los Angeles,California,90008,West,FUR-CH-10001714,Furniture,Chairs,"Global Leather & Oak Executive Chair, Burgundy",234.7695,2,0.2,-35.8015,2025,11,10,2025,11,17
76,US-2025-202538,Standard Class,AG-10765,Anthony Garverick,Home Office,United States,Philadelphia,Pennsylvania,19120,East,OFF-BI-10003712,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Light Blue",-10.5602,4,0.7,-0.3782,2025,9,17,2025,9,21
77,CA-2025-202569,Same Day,CS-11950,Carlos Soltero,Consumer,United States,Freeport,New York,11520,East,OFF-PA-10002947,Office Supplies,Paper,Xerox 1923,12.729,3,0.0,5.7567,2025,9,25,2025,9,25
78,CA-2025-202567,Second Class,RF-19345,Randy Ferguson,Corporate,United States,Marietta,Georgia,30062,South,TEC-AC-10003441,Technology,Accessories,Kingston Digital DataTraveler 32GB USB 2.0,113.3175,6,0.0,7.2649,2025,11,28,2025,12,1
79,CA-2025-202563,Standard Class,SS-20140,Saphhira Shifley,Corporate,United States,Oak Park,Illinois,60302,Central,OFF-AR-10000823,Office Supplies,Art,Newell 307,7.0936,7,0.2,-3.106,2025,12,15,2025,12,19
80,CA-2025-202527,Standard Class,XP-21865,Xylona Preis,Consumer,United States,Westland,Michigan,48185,Central,OFF-AR-10004456,Office Supplies,Art,Panasonic KP-4ABK Battery-Operated Pencil Sharpener,56.6336,3,0.0,9.8841,2025,1,20,2025,1,26
81,CA-2025-202522,Same Day,SR-20740,Steven Roelle,Home Office,United States,Dallas,Texas,75081,Central,OFF-PA-10003893,Office Supplies,Paper,Xerox 1962,3.0638,3,0.2,-2.3109,2025,4,3,2025,4,3
82,CA-2025-202546,Standard Class,TN-21040,Tanja Norvell,Home Office,United States,San Diego,California,92024,West,TEC-AC-10001445,Technology,Accessories,Imation USB 2.0 Swivel Flash Drive USB flash drive - 4 GB - Pink,18.775,7,0.0,2.7798,2025,12,16,2025,12,23
83,CA-2025-202576,First Class,LC-16930,Linda Cazamias,Corporate,United States,Phoenix,Arizona,85023,West,OFF-PA-10001837,Office Supplies,Paper,Xerox 1976,9.7787,4,0.2,0.2308,2025,9,11,2025,9,13
84,CA-2025-202533,Standard Class,KL-16555,Kelly Lampkin,Corporate,United States,Fayetteville,Arkansas,72701,South,TEC-AC-10003038,Technology,Accessories,Kingston Digital DataTraveler 16GB USB 2.0,44.7317,5,0.0,12.122,2025,12,14,2025,12,20
85,CA-2025-202539,Standard Class,GG-14650,Greg Guthrie,Corporate,United States,Los Angeles,California,90049,West,OFF-PA-10000477,Office Supplies,Paper,Xerox 1952,66.1917,13,0.0,26.5936,2025,10,31,2025,11,4
86,CA-2025-202545,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,OFF-PA-10003892,Office Supplies,Paper,Xerox 1943,142.6515,3,0.0,69.1442,2025,11,24,2025,11,30
87,CA-2025-202508,Standard Class,MC-18100,Mick Crebagga,Consumer,United States,Marysville,Washington,98270,West,OFF-FA-10001883,Office Supplies,Fasteners,"Alliance Super-Size Bands, Assorted Sizes",98.873,12,0.0,5.5108,2025,10,7,2025,10,11
88,CA-2025-202529,Standard Class,SP-20620,Stefania Perrino,Corporate,United States,New York City,New York,10011,East,OFF-ST-10003282,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",469.9019,8,0.0,132.5488,2025,9,7,2025,9,11
89,CA-2025-202591,First Class,TS-21340,Toby Swindell,Consumer,United States,Scottsdale,Arizona,85254,West,OFF-PA-10000659,Office Supplies,Paper,"TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page",38.8442,4,0.2,19.4037,2025,1,19,2025,1,20
90,CA-2025-202516,Second Class,VM-21685,Valerie Mitchum,Home Office,United States,Lancaster,California,93534,West,OFF-BI-10001989,Office Supplies,Binders,Premium Transparent Presentation Covers by GBC,57.5307,4,0.2,19.4312,2025,9,8,2025,9,10
91,CA-2025-202562,First Class,BE-11410,Bobby Elias,Consumer,United States,Lancaster,Ohio,43130,East,OFF-PA-10003465,Office Supplies,Paper,Xerox 1912,21.9819,2,0.2,10.7913,2025,2,7,2025,2,9
92,US-2025-202503,Standard Class,SC-20050,Sample Company A,Home Office,United States,Arlington,Texas,76017,Central,OFF-BI-10000301,Office Supplies,Binders,GBC Instant Report Kit,26.5959,9,0.8,-17.949,2025,9,30,2025,10,6
93,US-2025-202595,First Class,XP-21865,Xylona Preis,Consumer,United States,Los Angeles,California,90032,West,OFF-PA-10001745,Office Supplies,Paper,"Wirebound Message Books, 2 7/8"" x 5"", 3 Forms per Page",20.884,5,0.0,16.4425,2025,10,9,2025,10,11
94,CA-2025-202554,First Class,CM-12190,Charlotte Melton,Consumer,United States,San Diego,California,92105,West,OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",441.6182,4,0.0,15.586,2025,9,18,2025,9,21
95,CA-2025-202558,Standard Class,BT-11680,Brian Thompson,Consumer,United States,San Francisco,California,94122,West,OFF-ST-10001932,Office Supplies,Storage,Fellowes Staxonsteel Drawer Files,594.4802,3,0.0,83.9553,2025,4,10,2025,4,17
96,US-2025-202572,Second Class,JG-15115,Jack Garza,Consumer,United States,Des Moines,Washington,98198,West,TEC-PH-10003012,Technology,Phones,Nortel Meridian M3904 Professional Digital phone,254.8544,2,0.2,24.5832,2025,9,21,2025,9,23
97,CA-2025-202557,Standard Class,RD-19720,Roger Demir,Consumer,United States,Chicago,Illinois,60610,Central,TEC-AC-10003657,Technology,Accessories,Lenovo 17-Key USB Numeric Keypad,72.3167,3,0.2,2.9475,2025,11,21,2025,11,26
98,CA-2025-202557,Second Class,MD-17350,Maribeth Dona,Consumer,United States,Akron,Ohio,44312,East,OFF-BI-10004001,Office Supplies,Binders,GBC Recycled VeloBinder Covers,48.4006,5,0.7,-21.3575,2025,9,4,2025,9,9
99,CA-2025-202509,First Class,DB-13270,Deborah Brumfield,Home Office,United States,Portland,Oregon,97206,West,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",396.4027,5,0.2,19.5095,2025,12,11,2025,12,13
100,CA-2025-202533,Standard Class,CS-12355,Christine Sundaresam,Consumer,United States,New York City,New York,10024,East,OFF-BI-10000829,Office Supplies,Binders,Avery Non-Stick Binders,12.7187,3,0.2,7.523,2025,4,14,2025,4,19
101,US-2025-202587,Second Class,DK-13375,Dennis Kane,Consumer,United States,Seattle,Washington,98105,West,TEC-PH-10000148,Technology,Phones,Cyber Acoustics AC-202b Speech Recognition Stereo Headset,28.2556,2,0.2,-3.3921,2025,7,17,2025,7,22
102,CA-2025-202594,Second Class,EJ-14155,Eva Jacobs,Consumer,United States,Franklin,Massachusetts,2038,East,TEC-PH-10000193,Technology,Phones,Jensen SMPS-640 - speaker phone,136.5713,3,0.0,36.6129,2025,12,1,2025,12,6
103,US-2025-202574,Standard Class,EC-14050,Erin Creighton,Consumer,United States,New York City,New York,10024,East,OFF-PA-10002741,Office Supplies,Paper,Xerox 1980,32.9007,6,0.0,12.9433,2025,3,23,2025,3,29
104,CA-2025-202572,Second Class,HW-14935,Helen Wasserman,Corporate,United States,Detroit,Michigan,48205,Central,OFF-PA-10003172,Office Supplies,Paper,Xerox 1996,25.8936,4,0.0,12.6116,2025,9,27,2025,9,30
105,CA-2025-202549,Second Class,DB-13405,Denny Blanton,Consumer,United States,New York City,New York,10011,East,TEC-AC-10003038,Technology,Accessories,Kingston Digital DataTraveler 16GB USB 2.0,63.1636,8,0.0,15.4184,2025,3,17,2025,3,22
106,US-2025-202591,First Class,PG-18820,Patrick Gardner,Consumer,United States,Dallas,Texas,75081,Central,TEC-PH-10004531,Technology,Phones,OtterBox Commuter Series Case - iPhone 5 & 5s,35.2547,2,0.2,8.454,2025,11,11,2025,11,13
107,CA-2025-202501,Standard Class,FH-14350,Fred Harton,Consumer,United States,Seattle,Washington,98105,West,FUR-FU-10004017,Furniture,Furnishings,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",93.2966,1,0.0,24.9517,2025,2,13,2025,2,19
108,US-2025-202570,Standard Class,RD-19720,Roger Demir,Consumer,United States,Middletown,Connecticut,6457,East,TEC-AC-10002842,Technology,Accessories,WD My Passport Ultra 2TB Portable External Hard Drive,245.99,2,0.0,36.306,2025,3,20,2025,3,24
109,CA-2025-202562,Standard Class,ML-17395,Marina Lichtenstein,Corporate,United States,Seattle,Washington,98103,West,OFF-AP-10001293,Office Supplies,Appliances,Belkin 8 Outlet Surge Protector,80.6639,2,0.0,18.8934,2025,2,14,2025,2,18
